county_fips,state,county_name,population_2024,total_votes_2024,dem_margin_2024_pp,p_high_vol,p_high_vol_state_rf,S_persuadability,S_electoral_weight,S_volatility_predicted,S_volatility_predicted_state_rf,S_uncertainty,S_dem_opportunity,S_misfit,DPS,DPS_state_rf,PersuasionScore,PersuasionScore_pooled,state_priority_pct,state_persuasion_pct,old_priority_score,volatility_class,race_entropy_raw,kmeans_cluster_label,new_rank,new_rank_state_rf,persuasion_rank,persuasion_rank_pooled,dps_rank_shift_state_rf,persuasion_rank_shift_pooled,old_rank,rank_change
42019,PA,Butler County,197254,242880.0,-32.2068511198946,0.4514734196017106,0.2694873557471082,0.22292631053007148,0.3756540169569126,0.4514734196017106,0.2694873557471082,0.8359693657465594,0.7557456497695088,0.3362082712309155,0.39900767689722666,0.3535111609335761,0.2843887597453001,0.37538179167260133,0.7424242424242424,0.5909090909090908,0.3164546897328418,Moderate,0.2443347265878845,1,18,20,28,22,-2,-6,16,-2
42103,PA,Pike County,60621,69900.0,-24.048640915593708,0.6430730898284437,0.49545698729375204,0.3899907040554677,0.1743089348707583,0.6430730898284437,0.49545698729375204,0.05611413661575437,0.6029322565340975,0.022566141564093124,0.3800304819509413,0.34312645631726835,0.38880340337843255,0.46261145464577835,0.7272727272727273,0.7272727272727273,0.3068097334044356,Highly Volatile,0.5195884453278343,1,19,23,19,16,-4,-3,17,-2
42027,PA,Centre County,158576,161584.0,2.834439053371618,0.45063674727405406,0.721757473082473,0.45324794073684915,0.29557743050106244,0.45063674727405406,0.721757473082473,0.00652857038427368,0.6261647400829966,0.002623821486415787,0.37846409982416795,0.4462442812762727,0.5480850793507144,0.4125247164465049,0.7121212121212122,0.8333333333333334,0.2734515594311401,Moderate,0.460730977456661,4,20,18,12,19,2,7,21,1
42129,PA,Westmoreland County,352500,422900.0,-28.42468668716009,0.24075628874253036,0.1989097250444774,0.30046095717585547,0.5144532050225017,0.24075628874253036,0.1989097250444774,0.3262890877539554,0.7090926025926777,0.1312250873431204,0.3689573239771966,0.35849568305268337,0.303183403071828,0.3241066849208545,0.696969696969697,0.6363636363636364,0.2687898596171804,Very Stable,0.2687988548694183,1,21,19,25,25,2,0,23,2
42051,PA,Fayette County,125997,126944.0,-37.94586589362238,0.5250744904802361,0.2880662432854385,0.42603876283815983,0.2553131641263461,0.5250744904802361,0.2880662432854385,0.018351297915235598,0.4237923827140174,0.007378685341614141,0.35550298786813944,0.29625092606944003,0.3143711033838457,0.43287522698124453,0.6818181818181819,0.6515151515151515,0.2109349076295991,Volatile,0.3124907870121126,3,22,28,24,17,-6,-7,27,5
42093,PA,Montour County,18103,19816.0,-21.01332256762213,0.5382583119210298,0.2526741564077478,0.29443069002094946,0.06535535064298223,0.5382583119210298,0.2526741564077478,0.45399344774905837,0.8098808126934565,0.18258521925022403,0.3485693421392005,0.27717330326087997,0.21628358836985684,0.35907566612649783,0.6666666666666667,0.43939393939393945,0.2909238386474342,Volatile,0.3334220454939722,1,23,35,38,23,-12,-15,19,-4
42125,PA,Washington County,210042,243234.0,-25.505480319363244,0.27380390901574564,0.37860627607686426,0.2971297292512544,0.3759704511243634,0.27380390901574564,0.37860627607686426,0.32761903349542587,0.5854623624722994,0.13175996484232114,0.32637881326216844,0.3525794050274481,0.3575781831323366,0.30517699960177724,0.6515151515151515,0.6818181818181819,0.2732871962405609,Moderate,0.3101766234161066,1,24,21,22,29,3,7,22,-2
42073,PA,Lawrence County,85024,94220.0,-33.765654850350245,0.47326625596674254,0.25723756566790634,0.36804653450710756,0.21182644076324164,0.47326625596674254,0.25723756566790634,0.03985736080465485,0.4551204622331766,0.016027992435321763,0.3221783646428352,0.2681711920681262,0.27358702665154044,0.38160137180095854,0.6363636363636364,0.5606060606060606,0.2038325522514715,Volatile,0.3147183160242255,3,25,36,30,21,-11,-9,28,3
42075,PA,Lebanon County,144186,147384.0,-31.954621939966344,0.23281174079297798,0.2950405105214702,0.3970237051678486,0.27965184171828567,0.23281174079297798,0.2950405105214702,0.011650619492014402,0.7100451946756533,0.004683806891912653,0.31671294711572384,0.3322701395478469,0.31668914198226866,0.28557475711802255,0.6212121212121212,0.6666666666666667,0.1739771042600037,Stable,0.4682214877056789,1,26,24,23,32,2,9,32,6
42085,PA,Mercer County,109257,116820.0,-30.15921931176169,0.37914898876173303,0.2285071405718465,0.3953526184373305,0.24253082906694926,0.37914898876173303,0.2285071405718465,0.08964467422919475,0.45786570531171444,0.03605145118710392,0.31599775362885546,0.2783372915813838,0.27372443216199316,0.34904535625693645,0.6060606060606061,0.5757575757575757,0.2231204976616717,Volatile,0.3418407279278033,3,27,34,29,24,-7,-5,25,-2
42007,PA,Beaver County,166324,189686.0,-20.70896112522801,0.26014811625816525,0.38507877441615856,0.35913380157408425,0.3251517068017936,0.26014811625816525,0.38507877441615856,0.15906069031028425,0.5547573628772287,0.06396918040580162,0.31344922406888953,0.3446818886083879,0.36361076430204875,0.3011454352230521,0.5909090909090908,0.7121212121212122,0.2488870573373861,Moderate,0.3692340663987202,3,28,22,20,30,6,10,24,-4
42021,PA,Cambria County,131538,142272.0,-39.685953666216825,0.25349912670823077,0.19496245715069252,0.3876403189362413,0.27373192447065886,0.25349912670823077,0.19496245715069252,0.10086597788569962,0.554578444081192,0.04056443442424517,0.3031107023419624,0.2884765349525778,0.2628242894270713,0.2920926242058404,0.5757575757575757,0.5303030303030303,0.1613384623691247,Stable,0.2897301359940248,3,29,30,32,31,-1,-1,36,7
42127,PA,Wayne County,51262,58888.0,-37.09074853960061,0.3568617583169399,0.1399482525730204,0.3615393712976706,0.15516744950482464,0.3568617583169399,0.1399482525730204,0.020569669799712198,0.6175366496903999,0.00827087001416641,0.29661808474292956,0.24238970830694972,0.199150831487134,0.30760758435909374,0.5606060606060606,0.3484848484848485,0.2150831700122826,Highly Volatile,0.3435470039445125,3,30,40,44,27,-10,-17,26,-4
42053,PA,Forest County,6715,5300.0,-44.45283018867926,0.3906744914725083,0.22645093497833438,0.4410059311050244,0.005449393295223984,0.3906744914725083,0.22645093497833438,0.0035382891903668057,0.6270579840163978,0.0014211903737092685,0.2878423507669526,0.24678646164340906,0.2248392985892293,0.3069510768363163,0.5454545454545454,0.4545454545454546,0.091853122296701,Very Stable,0.4901375969875506,3,31,39,37,28,-8,-9,57,26
42081,PA,Lycoming County,113489,119370.0,-41.4593281393985,0.15510792274570354,0.18418389943389943,0.3687806248208114,0.24580095817945177,0.15510792274570354,0.18418389943389943,0.047407377065057155,0.716974193637284,0.019064457525863027,0.2844272078318851,0.29169620200393404,0.24573734546701553,0.23119935712291756,0.5303030303030303,0.5,0.1512779590159787,Stable,0.3405245940612799,3,32,29,34,35,3,1,40,8
42055,PA,Franklin County,157379,167768.0,-42.98912784321205,0.09611469493893246,0.13953121763857065,0.3303330490713739,0.3022933829756416,0.09611469493893246,0.13953121763857065,0.006662253718260347,0.7231870035347319,0.002677586241727248,0.27291835546854437,0.28377248614345396,0.2279222168310392,0.20621395548122012,0.5151515151515151,0.4696969696969697,0.1480756039336104,Stable,0.3951611083562642,1,33,32,36,44,1,8,41,8
42013,PA,Blair County,121277,129898.0,-43.4571740904402,0.12338404923476619,0.28461609615874334,0.3375366085523645,0.2589458997716553,0.12338404923476619,0.28461609615874334,0.04777816031448945,0.7022929873061927,0.019213579111065852,0.2701549601918538,0.3104629719228481,0.2914286751603766,0.21081265169838803,0.5,0.6060606060606061,0.1340336845644465,Very Stable,0.2572184046473524,3,34,26,27,41,8,14,44,10
42037,PA,Columbia County,65362,65152.0,-31.025908644400783,0.20020054132036466,0.2761132275876857,0.35067575613812374,0.1662555867149149,0.20020054132036466,0.2761132275876857,0.12896442465057778,0.6682592378337594,0.05186506607287653,0.2692985090316803,0.2882766805985105,0.26728944950710254,0.229333106373442,0.48484848484848486,0.5454545454545454,0.1608959622793197,Very Stable,0.2770793276042282,3,35,31,31,36,4,5,37,2
42107,PA,Schuylkill County,143558,146368.0,-42.06247267162221,0.0988858356554581,0.14032959246635723,0.3764082751005076,0.2784835451908033,0.0988858356554581,0.14032959246635723,0.010130769823359032,0.637850844812335,0.004072553842571954,0.26868483881855565,0.27904577802128044,0.23388775130600636,0.2131658729005568,0.4696969696969697,0.48484848484848486,0.1802942681686707,Moderate,0.3541351487772993,3,36,33,35,39,3,4,29,-7
42035,PA,Clinton County,37798,37044.0,-40.870316380520464,0.4337867527905396,0.18239814303343727,0.31397752630464143,0.11092179548198788,0.4337867527905396,0.18239814303343727,0.0004427871998363697,0.4312501036733145,0.00017624156727509766,0.268599811799366,0.20575265936009035,0.19742390196337595,0.3231182068419271,0.4545454545454546,0.33333333333333337,0.1801538290904205,Volatile,0.2060518446310309,3,37,51,45,26,-14,-19,31,-6
42001,PA,Adams County,106115,121300.0,-33.64550700741962,0.16939695584656683,0.31834452997982404,0.28387019206775,0.24825283679450075,0.16939695584656683,0.31834452997982404,0.006122211186027404,0.7145687519132584,0.0024603919682349667,0.26500863916239104,0.3022455326957053,0.29220302220547467,0.2177292351388461,0.43939393939393945,0.6212121212121212,0.15750070633772,Very Stable,0.3431525541731282,1,38,27,26,38,11,12,39,1
42063,PA,Indiana County,83042,84458.0,-39.11529991238248,0.18222181818749966,0.21727733932733953,0.3515849906027292,0.19742802761469166,0.18222181818749966,0.21727733932733953,0.09832297794079303,0.5439192412525573,0.03954169085765771,0.255741325615007,0.26450520589996696,0.24589192421802497,0.22836416364810505,0.4242424242424242,0.5151515151515151,0.1646833180099656,Stable,0.2605170420591327,3,39,37,33,37,2,4,35,-4
42119,PA,Union County,42456,42376.0,-23.381159146686805,0.18765815071025055,0.49698467227646825,0.32869820700592856,0.12272009583089713,0.18765815071025055,0.49698467227646825,0.0015256773847870386,0.7099663899383513,0.0006117582774493108,0.24859138191374416,0.3259230123052986,0.36134691184744056,0.2066836510643317,0.40909090909090906,0.696969696969697,0.1658991129911928,Very Stable,0.3942471144260461,1,40,25,21,43,15,22,34,-6
42025,PA,Carbon County,65382,70790.0,-34.79022460799548,0.1593151832377566,0.13686980095927473,0.35583784424517,0.1757877357797941,0.1593151832377566,0.13686980095927473,0.02472527327578522,0.5867166038005034,0.009942170373002332,0.24731753758736838,0.2417061920177479,0.20134129548587837,0.21256398662511933,0.3939393939393939,0.36363636363636365,0.1802079846431682,Moderate,0.3235536531028154,3,41,41,43,40,0,-3,30,-11
42023,PA,Cameron County,4427,4438.0,-50.292924740874255,0.39331888508401847,0.2186646257423347,0.30969213352864666,0.0,0.39331888508401847,0.2186646257423347,0.001874668106242594,0.5471378301231288,0.0007521153450467068,0.24423899783668823,0.2005754330012673,0.186755346253329,0.2740824759241709,0.3787878787878788,0.303030303030303,0.1304370911205747,Moderate,0.2096286628498403,3,42,55,47,33,-13,-14,47,5
