county_fips,state,county_name,total_population,total_votes,dem_margin,vol_z_abs_sum,misfit_score,p_dem,volatility_class,margin_closeness,norm_volatility,norm_misfit,norm_votes,norm_closeness,priority_score
26097,MI,Mackinac County,10957,7238.0,-24.88256424426637,-0.5979704603018974,0.5346898044049097,0.5346898044049097,Moderate,0.7511743575573362,0.1735599384486893,0.5591058539593213,0.003904192896408795,0.6579512696114418,0.3244107471708277
37187,NC,Washington County,10812,5944.0,6.224764468371475,1.5966643967575322,0.078424546851868,0.921575453148132,Highly Volatile,0.9377523553162852,0.3838122630174599,0.0820036820290271,0.0030063742349634454,0.9151812791547689,0.31943244880218935
37163,NC,Sampson County,59470,28201.0,-29.718804297719934,3.589137349121482,0.0895433465448465,0.0895433465448465,Highly Volatile,0.7028119570228006,0.5746968962982014,0.09363025975977013,0.01844899397823171,0.5912753437227467,0.3186839510685102
42019,PA,Butler County,197254,242880.0,-32.2068511198946,-0.5327582451153292,0.4179846828732797,0.4179846828732797,Moderate,0.677931488801054,0.1798074560205309,0.4370709936748811,0.16740016277299688,0.5569733190735656,0.31645468973284185
37131,NC,Northampton County,16931,9215.0,14.476397178513295,2.812413686082717,0.0118416729396101,0.98815832706039,Highly Volatile,0.855236028214867,0.5002845378249173,0.012380073325473268,0.005275898842063706,0.80141826388648,0.3147830071666554
37129,NC,New Hanover County,235229,138734.0,0.6234953219830714,0.7516180218283907,0.003160912382472,0.996839087617528,Volatile,0.9937650467801693,0.3028543924515439,0.003302876130953257,0.09514033099951362,0.9924044530169789,0.31394801012147566
37077,NC,Granville County,60877,32104.0,-9.4006977323698,0.5926385499210397,0.182865581821429,0.182865581821429,Volatile,0.9059930226763021,0.2876237022892528,0.19121437426945626,0.02115702043543511,0.8713955512758196,0.3136590696181626
26139,MI,Ottawa County,301203,178507.0,-20.436173371352385,1.766968443134476,0.0684114167922185,0.0684114167922185,Highly Volatile,0.7956382662864762,0.40012787994983534,0.07153326811914501,0.12273611277823532,0.7192524509088583,0.31245619939106734
37033,NC,Caswell County,22404,12040.0,-24.518272425249165,3.5788433441716943,0.0193554395923319,0.0193554395923319,Highly Volatile,0.7548172757475083,0.5737107010489765,0.020236981845347245,0.007235974358743081,0.662973661812446,0.3115761817282047
37021,NC,Buncombe County,274360,160510.0,24.700018690424272,2.16934735308357,0.0741140227128411,0.9258859772871588,Highly Volatile,0.7529998130957573,0.43867693557159887,0.07749630305409248,0.11024921753091542,0.6604679754996441,0.31063305591766044
37119,NC,Mecklenburg County,1154681,577505.0,32.67227123574688,1.0512030772038587,0.0002733337915357,0.9997266662084644,Volatile,0.6732772876425313,0.33155550147482515,0.00028342638204273234,0.3995737095938238,0.5505566985566592,0.30954227414774604
37073,NC,Gates County,10376,5868.0,-21.642808452624408,3.394490001402247,0.0004324165359055,0.0004324165359055,Highly Volatile,0.7835719154737559,0.5560491211580808,0.00044977418433324534,0.0029536429998244604,0.7026169013157106,0.3081889709066058
