county_fips,county_name,dem_margin_2016,dem_margin_2020,dem_margin_2024,d_16_20,d_20_24,swing_dir_score,swing_mag_16_20,swing_mag_20_24,z_swing_mag_16_20,z_swing_mag_20_24,vol_z_abs_sum,vol_z_euc
26039,Crawford County,-0.4063819961134368,-0.3213739190376586,-0.4461302088194315,0.08500807707577818,-0.12475628978177289,-106.05292297457066,0.08500807707577818,0.12475628978177289,-0.3641407153929711,0.21231012957734557,-0.15183058581562553,0.4215139994449224
26041,Delta County,-0.0998204941073997,-0.1469504470710421,-0.3076509640362408,-0.047129952963642405,-0.16070051696519871,75.73807805802834,0.047129952963642405,0.16070051696519871,-0.7524512909965454,0.6516987881628985,-0.1007525028336469,0.9954367161278301
26043,Dickinson County,-0.5127676885219914,-0.4316403417846173,-0.551591870721968,0.0811273467373741,-0.11995152893735073,-97.31349279778615,0.0811273467373741,0.11995152893735073,-0.4039243284094651,0.1535758741020042,-0.2503484543074609,0.4321347153229327
26045,Eaton County,0.7469191017277914,0.9104378766743652,0.8132798779921698,0.16351877494657374,-0.09715799868219532,-158.87156920773404,0.16351877494657374,0.09715799868219532,0.4407178935231806,-0.1250563143752611,0.3156615791479195,0.45811717216955933
26047,Emmet County,0.1451124860228346,0.4836425384485147,0.4995124161612132,0.3385300524256801,0.015869877712698544,53.724305340689696,0.3385300524256801,0.015869877712698544,2.2348598022893365,-1.1187368364090406,1.1161229658802958,2.4992339716455603
26049,Genesee County,1.3316188970534977,1.3265667464636302,1.114925536556417,-0.005052150589867521,-0.21164120990721313,10.692432634730027,0.005052150589867521,0.21164120990721313,-1.1838151993971473,1.2744069249935919,0.09059172559644457,1.7394054837200355
26051,Gladwin County,-0.4857695187136381,-0.5700408249264441,-0.7330132511006985,-0.08427130621280604,-0.16297242617425434,137.33899230374513,0.08427130621280604,0.16297242617425434,-0.3716937799809027,0.6794710124675406,0.3077772324866379,0.7744915253636778
26053,Gogebic County,0.3288857143184546,0.4297766272906106,0.2391587756839954,0.10089091297215602,-0.1906178516066152,-192.31609077382365,0.10089091297215602,0.1906178516066152,-0.2013165710166239,1.0174136349299618,0.8160970639133379,1.037139752544125
26055,Grand Traverse County,0.4282091276334923,0.8181281770864601,0.8713118469700554,0.38991904945296785,0.05318366988359524,207.3732600743189,0.38991904945296785,0.05318366988359524,2.7616781567643707,-0.6626063705891944,2.0990717861751764,2.840055183248177
26057,Gratiot County,-0.1104499308759198,-0.220926808716429,-0.345091622632106,-0.1104768778405092,-0.12416481391567702,137.1734097905181,0.1104768778405092,0.12416481391567702,-0.10304529642218674,0.20507982285623103,0.10203452643404429,0.2295126725422355
