county_fips,state,county_name,population_2024,total_votes_2024,dem_margin_2024_pp,p_high_vol,p_high_vol_state_rf,S_persuadability,S_electoral_weight,S_volatility_predicted,S_volatility_predicted_state_rf,PersuasionScore,PersuasionScore_pooled,state_persuasion_pct,persuasion_rank,persuasion_rank_pooled,persuasion_rank_shift_pooled,DPS,DPS_state_rf,state_priority_pct,new_rank,new_rank_state_rf,dps_rank_shift_state_rf,old_priority_score,volatility_class,race_entropy_raw,kmeans_cluster_label
26045,MI,Eaton County,109130,65208.0,-3.137651821862349,0.5527792453229412,0.4978892576807439,0.37674118961688585,0.2430675558433749,0.5527792453229412,0.4978892576807439,0.40389681520543713,0.4313418090265358,0.7682926829268293,20,18,-2,0.3759779689400131,0.3622554720294638,0.7926829268292683,18,23,-5,0.2874452354519076,Volatile,0.4996425347879528,1
26025,MI,Calhoun County,133778,68505.0,-14.039851105758691,0.14623464457823152,0.4063644955148053,0.5204738566417324,0.2502685403327685,0.14623464457823152,0.4063644955148053,0.39586784700102784,0.265802921532741,0.7560975609756098,21,41,20,0.31433975280041776,0.3793722155345612,0.6707317073170731,28,19,9,0.266251276965686,Moderate,0.5732687713521405,0
26121,MI,Muskegon County,175961,95181.0,-1.7913238986772555,0.16288932079971555,0.37769865428688915,0.5158883508748573,0.30310066469470853,0.16288932079971555,0.37769865428688915,0.39359658103583606,0.2861919142922492,0.7439024390243902,22,37,15,0.3156666445382892,0.3693689779100826,0.6829268292682926,27,22,5,0.2599867814706225,Stable,0.5496885282608998,0
26083,MI,Keweenaw County,2133,1611.0,-12.787088764742393,0.6216467068878827,0.6294000035224494,0.2928218320176872,0.0,0.6216467068878827,0.6294000035224494,0.3879054597656465,0.38402881144836315,0.7317073170731707,23,21,-2,0.3723479868753394,0.374286311033981,0.7804878048780488,19,21,-2,0.3803236419842707,Volatile,0.1887605927484537,3
26069,MI,Iosco County,25347,15731.0,-30.58292543385671,0.3191405926895536,0.49942589764037143,0.40856565166293546,0.09632068702876097,0.3191405926895536,0.49942589764037143,0.3759345334931098,0.2857918810177009,0.7195121951219512,24,38,14,0.28236518657580245,0.3274365128135069,0.5731707317073171,36,29,7,0.1637369683726606,Stable,0.2536732040689575,3
26005,MI,Allegan County,121456,71913.0,-27.21204789120187,0.15781581656330798,0.474915012187675,0.29045194216878933,0.2575320565616436,0.15781581656330798,0.474915012187675,0.37445350577644576,0.21590390796426223,0.7073170731707317,25,52,27,0.258029424862017,0.33730422376810876,0.46341463414634143,45,26,19,0.2064269319828101,Moderate,0.36039786374399,1
26073,MI,Isabella County,64565,30835.0,-7.488243878709269,0.6358123402330579,0.3920251285694012,0.5421516943698779,0.15298832322535325,0.6358123402330579,0.3920251285694012,0.3697975686835084,0.4916911745153367,0.6951219512195121,26,11,-15,0.4538769089742468,0.3929301060583326,0.8536585365853658,13,17,-4,0.4924289340840295,Volatile,0.4179516398799944,0
26085,MI,Lake County,12563,6915.0,-32.176428054953,0.7700423630463106,0.42772613053441194,0.566877964100926,0.04858522363072058,0.7700423630463106,0.42772613053441194,0.3677288622001176,0.5388869784560669,0.6829268292682926,27,8,-19,0.39076555599328966,0.30518649786531504,0.8048780487804879,17,35,-18,0.2365168528850504,Highly Volatile,0.5237170358170812,3
26115,MI,Monroe County,155505,91356.0,-27.12793905162222,0.1372709942790361,0.41745677077480464,0.31398729184576946,0.29602774858885655,0.1372709942790361,0.41745677077480464,0.36123214549605887,0.22113925724817457,0.6707317073170731,28,49,21,0.24558956276072014,0.3156360068846623,0.3902439024390244,51,34,17,0.210074785537291,Moderate,0.3101797290317422,1
26017,MI,Bay County,103008,61338.0,-14.71355440346931,0.15453013723331935,0.4129435670538611,0.37834593010821,0.23437866632604518,0.15453013723331935,0.4129435670538611,0.35965293263549436,0.23044621772522345,0.6585365853658536,29,48,19,0.2640866914184469,0.3286900488735823,0.5,42,28,14,0.2329309381568318,Moderate,0.3047200497492155,3
